CID,INTENSITY,PLEASANTNESS,BAKERY,SWEET,FRUIT,FISH,GARLIC,SPICES,COLD,SOUR,BURNT,ACID,WARM,MUSKY,SWEATY,AMMONIA,DECAYED,WOOD,GRASS,FLOWER,CHEMICAL
126,35.529411765,48.956521739,0.630434783,24.347826087,6.239130435,0.282608696,1.608695652,3.652173913,4.0,7.5,1.586956522,2.847826087,0.913043478,8.304347826,1.5,1.804347826,4.97826087,1.260869565,1.347826087,9.260869565,14.239130435
176,18.785714286,48.461538462,2.538461538,6.692307692,1.230769231,0.0,7.192307692,8.230769231,5.769230769,15.307692308,3.846153846,3.5,4.230769231,6.769230769,7.153846154,3.615384615,3.038461538,1.807692308,1.961538462,4.115384615,3.384615385
177,42.894736842,45.315789474,8.421052632,20.078947368,1.763157895,0.0,0.631578947,2.5,7.0,10.447368421,0.921052632,4.447368421,4.52631579,3.421052632,1.947368421,3.789473684,3.263157895,1.026315789,4.0,2.184210526,18.789473684
179,49.384986877441406,30.717227935791016,2.9831132888793945,9.501761436462402,3.701047658920288,1.7375866174697876,2.4137446880340576,5.099861145019531,2.1525299549102783,16.24229621887207,6.739072799682617,1.739939570426941,7.400720596313477,17.756946563720703,10.961183547973633,2.4904356002807617,15.709390640258789,1.73481285572052,0.7762067914009094,2.483368396759033,4.585387229919434
180,22.743398666381836,46.00983428955078,2.665656089782715,6.802188873291016,1.3425849676132202,0.3929328918457031,5.99788236618042,6.264080047607422,5.915472984313965,11.276094436645508,1.9057294130325317,4.991281032562256,4.0131731033325195,4.630862712860107,4.536810398101807,3.2287967205047607,2.610740900039673,3.4758987426757812,1.7638577222824097,1.0867620706558228,9.821488380432129
240,77.489795918,61.87755102,17.408163265,43.265306122,28.489795918,0.408163265,0.020408163,6.367346939,5.551020408,2.857142857,0.448979592,2.306122449,6.673469388,3.326530612,0.081632653,3.081632653,0.224489796,0.224489796,1.755102041,13.551020408,19.591836735
261,83.416666667,18.270833333,0.958333333,0.979166667,0.145833333,3.770833333,5.270833333,6.0625,1.166666667,23.8125,8.270833333,10.958333333,4.708333333,21.354166667,10.958333333,13.25,15.1875,1.354166667,1.708333333,0.958333333,20.395833333
263,14.958333333,41.8,2.56,8.24,1.76,0.68,5.2,4.96,2.24,18.56,1.56,2.48,4.24,8.0,4.32,3.4,2.88,0.92,4.64,3.0,5.0
264,38.29728317260742,37.1301155090332,1.9014227390289307,6.265905380249023,2.2841310501098633,2.190603494644165,7.4834771156311035,7.053686141967773,0.6963557004928589,16.187702178955078,5.604403495788574,3.20401930809021,6.12364387512207,14.457280158996582,5.889217376708984,2.0719451904296875,10.444411277770996,2.1641292572021484,2.7077739238739014,3.346604824066162,2.5287861824035645
307,56.50050735473633,43.134033203125,4.035921573638916,21.234811782836914,8.121465682983398,2.712195873260498,1.0317347049713135,6.971762180328369,7.16592264175415,4.4417619705200195,4.795663356781006,6.016190528869629,6.7755842208862305,7.439404010772705,2.319171667098999,6.62119722366333,5.027966499328613,1.3683807849884033,2.1097159385681152,15.35497760772705,14.08476448059082
323,41.47261428833008,49.107017517089844,12.78873348236084,10.40543270111084,4.476934432983398,1.088773488998413,2.107579469680786,6.103279113769531,8.296523094177246,5.106016159057617,2.841059446334839,9.369306564331055,5.765588760375977,8.729851722717285,1.4170044660568237,5.833003997802734,1.558184266090393,2.4643380641937256,1.2697070837020874,9.237236976623535,13.070589065551758
325,29.0,32.363636364,2.522727273,2.431818182,0.022727273,4.886363636,2.136363636,23.613636364,5.340909091,5.909090909,6.204545454,15.340909091,5.0,7.636363636,4.590909091,9.25,7.204545454,2.909090909,4.318181818,1.75,16.045454545
326,57.046511628,50.465116279,5.325581395,4.348837209,1.488372093,2.418604651,6.604651163,24.697674419,0.093023256,8.0,4.325581395,1.069767442,11.837209302,9.255813954,0.069767442,0.976744186,4.209302326,3.697674419,2.0,3.534883721,7.11627907
454,65.5102,32.0833,0.0208,3.4792,3.125,0.0208,3.3542,3.9583,5.8958,11.2917,5.1875,6.4375,4.9375,14.5417,8.2083,0.0,1.7292,5.4792,3.6875,3.3125,0.0
460,59.662790698,38.817204301,4.010752688,10.301075269,0.817204301,2.161290323,1.698924731,7.064516129,5.333333333,5.322580645,8.419354839,5.580645161,4.88172043,6.505376344,2.462365591,2.602150538,4.010752688,2.182795699,4.075268817,6.795698925,21.064516129
