model1_exp1,model1_exp5,model1_exp21,model1_exp23,model2
0.5818921029879992,0.5620465878143338,0.5636339065379994,0.5347138047218323,0.602513075
0.6861677601220004,0.6807029042830002,0.6744436357399998,0.7161896228790283,0.672592819
0.483451846310001,0.479445886747001,0.5075701782770016,0.4470305144786834,0.510718107
0.5263745923106681,0.5299726595100016,0.5496044735340009,0.510359525680542,0.481011033
0.6033454121300009,0.5935136285576678,0.5947312911529993,0.5195280909538269,0.627330601
0.6924041297660006,0.6898400826670015,0.6484972486246667,0.6683536767959595,0.747293234
0.6957091126679975,0.6974300757299984,0.6751608441489994,0.7086180448532104,0.698507607
0.6977471171669981,0.6954399125179972,0.6602768721680007,0.6996403932571411,0.683684826
0.7097778717909962,0.7124122048329965,0.6842947305640001,0.7321339845657349,0.68765533
0.7133141421710012,0.6870324236630012,0.6889295527330002,0.7223984003067017,0.656496763
0.6430506455379997,0.6006142064799995,0.6533288178779995,0.6960394382476807,0.684221625
0.7601041623396698,0.7418189777370011,0.7335335169920011,0.7926899194717407,0.737501502
0.7746219619240006,0.7647119374780005,0.7417830235220015,0.8008755445480347,0.721253395
0.7563464889539973,0.7506517681009971,0.7237481091239997,0.7971106767654419,0.747355461
0.6870879465259984,0.6640537549753328,0.7076097922069994,0.8036588430404663,0.706340194
0.595339294532667,0.569626942248667,0.5737258303606673,0.5675803422927856,0.583133698
0.6851923201090002,0.6883091364400005,0.6491944788080005,0.6573848724365234,0.640995383
0.517595948287999,0.5337053332249992,0.5711649918039994,0.533984363079071,0.486157238
0.4651033327393313,0.4739167359199984,0.4918525163876645,0.4455618858337402,0.407491475
0.4779905228530006,0.4959471209020004,0.5050415413633332,0.4402161538600921,0.456528485
0.5507187271210002,0.5605615520330014,0.5841086224180005,0.5072065591812134,0.603911996
0.5689334878256675,0.5582304647273334,0.545842286363333,0.5531597137451172,0.550745249
0.4604451173103323,0.4734636619989993,0.5198657041019992,0.5320084095001221,0.513880134
0.5030293622333324,0.5216007482946653,0.5081757360006656,0.4703187644481659,0.393409073
0.4987539642273325,0.5218966853376662,0.5079826334749986,0.4766729474067688,0.42670089
0.605180330163,0.6152978868420004,0.6134667800020004,0.5965613722801208,0.540507436
0.5870599336179995,0.5679911228940002,0.5708178742873331,0.5597928762435913,0.550072968
0.663697387954001,0.659513080695001,0.6626213269410006,0.6692880392074585,0.665811241
0.492921462377001,0.5046193444920004,0.5362564201089999,0.5312517285346985,0.475204289
0.4956196585290013,0.4845353130530019,0.4890723752353335,0.4375228583812713,0.444807589
0.4767619194639999,0.4869647626300001,0.4680783985419998,0.3620819449424743,0.429139256
0.5822117984940005,0.5777274766769999,0.6229379725730002,0.6126424074172974,0.590881944
